EmployeeNumber,BurnoutRisk,Priority,Urgency_Note,Num_Interventions,Interventions
1744,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1745,Medium,HIGH,"Key drivers: very low job satisfaction, frequent business travel.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
1746,Medium,HIGH,"Key drivers: very poor environment satisfaction, low monthly income (financial stress), frequent business travel.",5,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
1747,Medium,HIGH,"Key drivers: below-average work-life balance, low monthly income (financial stress), frequent business travel.",4,Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
1749,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
1751,Low,WATCH,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
1752,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",5,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
1753,Medium,MODERATE,"Key drivers: working overtime, frequent business travel.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Reduce business travel frequency or offer travel allowance
1754,Medium,MODERATE,Key drivers: very low job satisfaction.,3,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
1755,Medium,HIGH,"Key drivers: working overtime, low monthly income (financial stress).",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1756,Medium,HIGH,"Key drivers: below-average work-life balance, low job satisfaction, long tenure with low satisfaction.",4,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
1757,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1758,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, very low job satisfaction, very poor environment satisfaction.",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
1760,Medium,HIGH,"Key drivers: below-average work-life balance, low job satisfaction, low monthly income (financial stress), frequent business travel.",6,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
1761,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
1762,Medium,HIGH,"Key drivers: very low job satisfaction, low monthly income (financial stress).",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
1763,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1764,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",5,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
1766,Medium,MODERATE,"Key drivers: working overtime, poor environment satisfaction.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions
1767,Medium,HIGH,"Key drivers: working overtime, low monthly income (financial stress), frequent business travel.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
1768,Medium,HIGH,"Key drivers: below-average work-life balance, low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",5,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1770,Medium,MODERATE,Key drivers: very low job satisfaction.,3,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
1771,Medium,MODERATE,"Key drivers: below-average work-life balance, low job satisfaction.",3,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
1772,Medium,HIGH,"Key drivers: very low job satisfaction, low monthly income (financial stress).",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1774,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
1775,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, very poor environment satisfaction.",7,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
1778,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
1779,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1780,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",5,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
1782,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1783,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, low monthly income (financial stress).",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1784,Medium,MODERATE,"Key drivers: very poor environment satisfaction, 5 years without promotion.",3,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments
1786,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
1787,Medium,MODERATE,"Key drivers: low job satisfaction, poor environment satisfaction.",3,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
1789,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
1790,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, 5 years without promotion, long tenure with low satisfaction.",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1792,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, low job satisfaction, low monthly income (financial stress), frequent business travel.",10,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1794,Medium,HIGH,"Key drivers: below-average work-life balance, low job satisfaction.",4,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Discuss career growth pathway and set a promotion timeline | Implement a peer-recognition and rewards programme
1797,Medium,MODERATE,"Key drivers: working overtime, 7 years without promotion.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Fast-track promotion review or provide stretch assignments
1798,Medium,HIGH,"Key drivers: very low job satisfaction, 7 years without promotion.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Implement a peer-recognition and rewards programme
1799,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1800,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1801,Medium,MODERATE,"Key drivers: low job satisfaction, poor environment satisfaction.",3,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
1802,Medium,HIGH,"Key drivers: below-average work-life balance, very low job satisfaction.",4,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
1803,Medium,HIGH,"Key drivers: below-average work-life balance, very low job satisfaction, poor environment satisfaction.",5,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
1804,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
1805,High,CRITICAL,"Key drivers: low job satisfaction, very poor environment satisfaction, low monthly income (financial stress), long tenure with low satisfaction.",10,Schedule a manager-employee feedback session | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Discuss career growth pathway and set a promotion timeline | Offer sabbatical leave or role rotation programme | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1807,Medium,HIGH,"Key drivers: below-average work-life balance, very low job satisfaction, frequent business travel.",5,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
1809,Medium,HIGH,"Key drivers: very poor work-life balance, very low job satisfaction.",5,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
1812,Low,WATCH,Key drivers: frequent business travel.,1,Reduce business travel frequency or offer travel allowance
1813,Medium,HIGH,"Key drivers: below-average work-life balance, very poor environment satisfaction, low monthly income (financial stress).",5,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1814,Medium,HIGH,"Key drivers: very poor work-life balance, low job satisfaction, poor environment satisfaction.",5,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
1815,Medium,MODERATE,"Key drivers: working overtime, 13 years without promotion.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Fast-track promotion review or provide stretch assignments
1816,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
1818,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, low monthly income (financial stress).",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
1821,Low,WATCH,Key drivers: low job satisfaction.,2,Schedule a manager-employee feedback session | Discuss career growth pathway and set a promotion timeline
1822,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1823,Low,WATCH,Key drivers: poor environment satisfaction.,2,Gather anonymous feedback on workplace conditions | Discuss career growth pathway and set a promotion timeline
1824,Medium,HIGH,"Key drivers: below-average work-life balance, low job satisfaction, poor environment satisfaction, 14 years without promotion, long tenure with low satisfaction.",5,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme
1826,Medium,MODERATE,"Key drivers: poor environment satisfaction, low monthly income (financial stress).",3,Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1827,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, 14 years without promotion, long tenure with low satisfaction.",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
1829,Medium,HIGH,"Key drivers: very low job satisfaction, poor environment satisfaction, 7 years without promotion.",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments | Implement a peer-recognition and rewards programme
1830,Low,WATCH,Key drivers: below-average work-life balance.,1,Offer optional wellness / mindfulness sessions
1833,Medium,HIGH,"Key drivers: very low job satisfaction, very poor environment satisfaction, frequent business travel.",6,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
1834,Medium,MODERATE,Key drivers: very low job satisfaction.,2,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer
1835,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance, poor environment satisfaction.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions
1836,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1837,Medium,HIGH,"Key drivers: working overtime, very poor environment satisfaction, frequent business travel.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Reduce business travel frequency or offer travel allowance
1839,Medium,HIGH,"Key drivers: very poor work-life balance, poor environment satisfaction, low monthly income (financial stress).",5,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1842,Medium,HIGH,"Key drivers: very low job satisfaction, low monthly income (financial stress).",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
1844,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, very poor environment satisfaction, low monthly income (financial stress).",11,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1845,Low,WATCH,Key drivers: 5 years without promotion.,1,Fast-track promotion review or provide stretch assignments
1847,Medium,MODERATE,"Key drivers: working overtime, low job satisfaction.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session
1849,Medium,HIGH,"Key drivers: very poor environment satisfaction, 7 years without promotion, frequent business travel.",4,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance
1850,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance, low monthly income (financial stress), frequent business travel.",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
1852,Low,WATCH,Key drivers: frequent business travel.,2,Discuss career growth pathway and set a promotion timeline | Reduce business travel frequency or offer travel allowance
1853,Low,WATCH,Key drivers: frequent business travel.,1,Reduce business travel frequency or offer travel allowance
1854,Medium,HIGH,"Key drivers: below-average work-life balance, low monthly income (financial stress).",4,Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Discuss career growth pathway and set a promotion timeline
1856,Medium,MODERATE,"Key drivers: poor environment satisfaction, low monthly income (financial stress).",3,Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1857,Low,WATCH,Key drivers: below-average work-life balance.,2,Offer optional wellness / mindfulness sessions | Discuss career growth pathway and set a promotion timeline
1858,Low,WATCH,Key drivers: low monthly income (financial stress).,2,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1859,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1860,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1862,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance, low job satisfaction.",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
1863,High,CRITICAL,"Key drivers: very low job satisfaction, very poor environment satisfaction, long tenure with low satisfaction.",8,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Offer sabbatical leave or role rotation programme | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1864,Low,WATCH,"Key drivers: poor environment satisfaction, 5 years without promotion.",2,Gather anonymous feedback on workplace conditions | Fast-track promotion review or provide stretch assignments
1865,Medium,HIGH,"Key drivers: low job satisfaction, low monthly income (financial stress).",4,Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
1866,Medium,MODERATE,"Key drivers: very poor environment satisfaction, 6 years without promotion.",3,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments
1867,Medium,HIGH,"Key drivers: low job satisfaction, 12 years without promotion, long tenure with low satisfaction.",4,Schedule a manager-employee feedback session | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
1868,Medium,HIGH,"Key drivers: working overtime, below-average work-life balance, low monthly income (financial stress), frequent business travel.",6,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance
1869,Low,WATCH,Key drivers: low job satisfaction.,1,Schedule a manager-employee feedback session
1870,Medium,HIGH,"Key drivers: below-average work-life balance, very low job satisfaction, 7 years without promotion, frequent business travel.",6,Offer optional wellness / mindfulness sessions | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
1871,Low,WATCH,No critical stress signals detected. Monitor regularly.,2,Continue regular manager check-ins | Encourage participation in optional team-building activities
1873,Medium,MODERATE,"Key drivers: poor environment satisfaction, low monthly income (financial stress).",3,Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1875,Medium,HIGH,"Key drivers: low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",5,Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
1876,Medium,HIGH,"Key drivers: below-average work-life balance, poor environment satisfaction, low monthly income (financial stress).",4,Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1878,Medium,HIGH,"Key drivers: working overtime, low job satisfaction, low monthly income (financial stress).",5,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1880,Medium,MODERATE,"Key drivers: working overtime, poor environment satisfaction.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Gather anonymous feedback on workplace conditions
1881,Low,WATCH,Key drivers: poor environment satisfaction.,1,Gather anonymous feedback on workplace conditions
1882,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
1883,Medium,HIGH,"Key drivers: very low job satisfaction, low monthly income (financial stress).",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
1885,Medium,HIGH,"Key drivers: working overtime, very low job satisfaction.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer
1886,Medium,HIGH,"Key drivers: working overtime, low job satisfaction.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
1888,Medium,MODERATE,"Key drivers: below-average work-life balance, poor environment satisfaction.",3,Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Discuss career growth pathway and set a promotion timeline
1890,Medium,MODERATE,"Key drivers: below-average work-life balance, poor environment satisfaction, frequent business travel.",3,Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Reduce business travel frequency or offer travel allowance
1892,High,CRITICAL,"Key drivers: very low job satisfaction, very poor environment satisfaction, 11 years without promotion, long tenure with low satisfaction.",9,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan | Implement a peer-recognition and rewards programme
1893,High,CRITICAL,"Key drivers: working overtime, below-average work-life balance, poor environment satisfaction, low monthly income (financial stress).",8,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
1898,Medium,MODERATE,"Key drivers: below-average work-life balance, very poor environment satisfaction.",3,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
1900,Low,WATCH,Key drivers: frequent business travel.,2,Discuss career growth pathway and set a promotion timeline | Reduce business travel frequency or offer travel allowance
1903,Medium,HIGH,"Key drivers: very low job satisfaction, poor environment satisfaction.",4,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Gather anonymous feedback on workplace conditions | Implement a peer-recognition and rewards programme
1905,High,CRITICAL,"Key drivers: working overtime, very low job satisfaction, low monthly income (financial stress).",9,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Discuss career growth pathway and set a promotion timeline | Refer to counselling / mental health support services | Place on a structured 30-day HR recovery plan
1907,Medium,HIGH,"Key drivers: very poor environment satisfaction, low monthly income (financial stress).",4,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP)
1908,Medium,HIGH,"Key drivers: very poor work-life balance, low job satisfaction.",4,Enrol in mandatory Employee Wellness Programme | Assign a dedicated HR wellness check-in (bi-weekly) | Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
1909,Low,WATCH,Key drivers: low job satisfaction.,1,Schedule a manager-employee feedback session
1911,Medium,HIGH,"Key drivers: very low job satisfaction, 5 years without promotion, long tenure with low satisfaction.",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Fast-track promotion review or provide stretch assignments | Offer sabbatical leave or role rotation programme | Implement a peer-recognition and rewards programme
1912,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
1915,Medium,MODERATE,"Key drivers: working overtime, below-average work-life balance.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Offer optional wellness / mindfulness sessions
1916,Medium,MODERATE,"Key drivers: below-average work-life balance, very poor environment satisfaction.",3,Offer optional wellness / mindfulness sessions | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
1918,Low,WATCH,"Key drivers: low monthly income (financial stress), 7 years without promotion, frequent business travel.",4,Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance
1922,Low,WATCH,"Key drivers: poor environment satisfaction, frequent business travel.",2,Gather anonymous feedback on workplace conditions | Reduce business travel frequency or offer travel allowance
1924,Medium,MODERATE,"Key drivers: below-average work-life balance, poor environment satisfaction.",2,Offer optional wellness / mindfulness sessions | Gather anonymous feedback on workplace conditions
1927,Medium,MODERATE,"Key drivers: working overtime, frequent business travel.",3,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Reduce business travel frequency or offer travel allowance
1928,Medium,HIGH,"Key drivers: very low job satisfaction, low monthly income (financial stress), frequent business travel.",6,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Reduce business travel frequency or offer travel allowance | Implement a peer-recognition and rewards programme
1929,Medium,MODERATE,Key drivers: very poor environment satisfaction.,2,Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement
1931,Medium,HIGH,"Key drivers: below-average work-life balance, low job satisfaction, poor environment satisfaction, low monthly income (financial stress).",6,Offer optional wellness / mindfulness sessions | Schedule a manager-employee feedback session | Gather anonymous feedback on workplace conditions | Conduct immediate compensation review | Provide access to Employee Assistance Programme (EAP) | Implement a peer-recognition and rewards programme
1932,Medium,HIGH,"Key drivers: working overtime, 6 years without promotion, frequent business travel.",4,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling | Fast-track promotion review or provide stretch assignments | Reduce business travel frequency or offer travel allowance
1933,Medium,MODERATE,Key drivers: working overtime.,2,Reduce or cap overtime hours immediately | Introduce flexible / compressed work-week scheduling
1934,Low,WATCH,Key drivers: low job satisfaction.,2,Schedule a manager-employee feedback session | Implement a peer-recognition and rewards programme
1935,Medium,MODERATE,Key drivers: very low job satisfaction.,3,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Implement a peer-recognition and rewards programme
1936,Medium,HIGH,"Key drivers: very low job satisfaction, very poor environment satisfaction, 7 years without promotion.",5,Conduct a one-on-one career development conversation | Review job role alignment and consider internal transfer | Investigate workplace environment concerns urgently | Consider remote / hybrid work arrangement | Fast-track promotion review or provide stretch assignments
